,area_id,area_name,land_area,population,number_of_dwellings,number_of_businesses,median_annual_household_income,avg_monthly_rent,0-4,5-9,10-14,15-19
21,102021049,Jilliby - Yarramalong,34676.6,3520,973,390.0,44122.0,1364.0,198,207,259,292
22,102021050,Lake Munmorah - Mannering Park,3549.5,11093,4252,424.0,41152.0,1363.0,583,619,587,612
23,102021051,Ourimbah - Fountaindale,11411.7,4996,1317,439.0,48214.0,1469.0,286,373,368,341
24,102021052,Summerland Point - Gwandalan,917.9,5904,2143,287.0,42683.0,1455.0,324,368,390,355
25,102021053,The Entrance,1385.8,15416,4428,1000.0,44137.0,1404.0,870,846,760,769
26,102021054,Toukley - Norah Head,1052.2,10092,3208,588.0,39615.0,1296.0,586,530,459,479
27,102021055,Tuggerah - Kangy Angy,2784.6,5480,1420,973.0,44360.0,1699.0,394,386,384,384
28,102021056,Warnervale - Wadalba,4289.0,16365,4387,768.0,47983.0,1823.0,1192,1411,1339,1161
29,102021057,Wyong,1503.3,9114,2805,645.0,41055.0,1276.0,590,592,605,582
30,115011290,Baulkham Hills (East),830.8,24370,6258,1880.0,52019.0,2166.0,1849,1908,1462,1245
31,115011291,Baulkham Hills (West) - Bella Vista,1096.3,21416,5244,4674.0,53703.0,2521.0,1236,1511,1370,1583
32,115011294,Glenhaven,723.1,6467,1687,736.0,50112.0,2661.0,307,429,452,446
33,115011296,West Pennant Hills,782.9,13244,3543,1503.0,53907.0,2605.0,693,838,813,1003
34,115011553,Castle Hill - Central,415.1,7992,2236,1803.0,50992.0,2360.0,582,574,503,484
35,115011554,Castle Hill - East,207.2,5685,1489,389.0,48100.0,2088.0,192,338,314,386
36,115011555,Castle Hill - North,681.5,12409,3296,1347.0,52307.0,2519.0,624,863,929,888
37,115011556,Castle Hill - South,412.8,9970,2774,1169.0,52563.0,2387.0,666,759,660,621
38,115011557,Castle Hill - West,163.6,5368,1315,520.0,58568.0,2828.0,302,442,427,458
39,115011558,Cherrybrook,825.1,19518,4862,1526.0,50744.0,2756.0,850,1240,1504,1642
40,115011559,Kellyville,1064.1,25111,6122,1856.0,55461.0,2681.0,1669,2011,2030,1813
41,115021297,Dural - Kenthurst - Wisemans Ferry,37754.0,22060,5920,3683.0,48550.0,1972.0,1124,1438,1611,1690
42,115021298,Galston - Laughtondale,19169.9,5378,1569,816.0,45128.0,1897.0,250,346,408,363
43,115031299,Bilpin - Colo - St Albans,216016.0,2751,858,325.0,40176.0,906.0,141,143,180,152
44,115031300,Kurrajong Heights - Ebenezer,33185.0,22443,6680,2430.0,49194.0,1619.0,1413,1547,1680,1661
45,115041301,Pitt Town - McGraths Hill,8155.2,11034,3083,1622.0,50076.0,1793.0,774,857,740,795
46,115041302,Rouse Hill - Beaumont Hills,3667.3,24977,5400,2154.0,56607.0,2605.0,1731,2207,2124,1862
47,116011303,Blacktown (East) - Kings Park,797.5,17868,5044,2319.0,45814.0,1587.0,1685,1117,781,871
48,116011304,Blacktown (North) - Marayong,738.3,18984,4913,867.0,45946.0,1493.0,1421,1323,1121,1123
49,116011306,Doonside - Woodcroft,991.1,24242,5920,978.0,49909.0,1371.0,1680,1710,1521,1678
50,116011307,Lalor Park - Kings Langley,1180.0,25825,7955,2401.0,49783.0,1435.0,1929,1765,1500,1612
51,116011308,Seven Hills - Toongabbie,1120.3,25379,6182,1616.0,48147.0,1587.0,1757,1720,1488,1504
52,116011560,Blacktown (South),335.9,12939,2840,723.0,45529.0,1567.0,936,943,832,849
53,116011561,Blacktown (West),467.5,16829,4165,830.0,46244.0,1680.0,1280,1154,1015,1134
54,116021309,Glenwood,511.9,16739,4282,1236.0,54647.0,2411.0,1141,1370,1377,1432
55,116021310,Parklea - Kellyville Ridge,981.3,34440,7498,2116.0,60354.0,2462.0,3288,3309,2515,2002
56,116021312,Riverstone - Marsden Park,7942.1,21668,4867,1573.0,49900.0,1891.0,1583,1365,1137,1129
57,116021562,Acacia Gardens,94.7,3905,272,257.0,57409.0,2245.0,315,339,279,237
58,116021563,Quakers Hill,776.8,23972,2761,1246.0,53386.0,1895.0,2035,1997,1611,1656
59,116031313,Bidwill - Hebersham - Emerton,609.5,18942,4746,424.0,42863.0,1123.0,1697,1667,1515,1546
60,116031314,Glendenning - Dean Park,514.3,8659,2300,600.0,50279.0,1713.0,773,730,666,654
61,116031315,Hassall Grove - Plumpton,620.5,21429,5072,921.0,49534.0,1750.0,1534,1700,1723,1897
62,116031316,Lethbridge Park - Tregear,1126.7,21997,5899,435.0,46525.0,1253.0,2224,1932,1591,1577
63,116031317,Mount Druitt - Whalan,868.6,23616,5253,1136.0,42774.0,1383.0,2064,2080,1706,1648
64,116031318,Prospect Reservoir,3069.2,40,5,500.0,53113.0,,0,0,3,5
65,116031319,Rooty Hill - Minchinbury,1462.4,21912,5062,1194.0,49012.0,1688.0,1556,1552,1409,1606
66,117011320,Banksmeadow,336.8,21,0,409.0,49680.0,,2,0,0,0
67,117011321,Botany,343.1,11679,2676,1304.0,56444.0,2133.0,863,800,676,576
68,117011322,Mascot - Eastlakes,616.5,27068,8150,2580.0,47831.0,2160.0,1605,1254,1041,1496
69,117011323,Pagewood - Hillsdale - Daceyville,311.9,12097,3340,911.0,47465.0,1705.0,670,746,691,702
70,117011324,Port Botany Industrial,280.4,7,0,135.0,,,0,0,0,0
71,117011325,Sydney Airport,891.1,202,0,9.0,,,10,4,1,7
72,117021326,Marrickville,581.3,28223,7735,3109.0,51843.0,2001.0,1553,1370,1043,982
73,117021327,Petersham - Stanmore,300.3,21633,4947,1917.0,58029.0,2173.0,1111,975,784,726
74,117021328,Sydenham - Tempe - St Peters,385.4,8461,1757,1087.0,55708.0,2452.0,522,404,322,302
75,117031329,Darlinghurst,85.7,12414,3914,2260.0,59293.0,2491.0,325,171,124,198
76,117031330,Erskineville - Alexandria,432.0,17822,4374,3218.0,69680.0,2581.0,930,597,340,385
77,117031331,Glebe - Forest Lodge,230.2,21592,5073,1830.0,56691.0,2162.0,825,583,480,838
78,117031332,Newtown - Camperdown - Darlington,328.1,27450,5079,2316.0,58210.0,2270.0,1004,738,536,1771
79,117031333,Potts Point - Woolloomooloo,145.9,23809,8751,2874.0,58253.0,2256.0,497,256,210,486
80,117031334,Pyrmont - Ultimo,149.1,24083,7599,3933.0,47393.0,2575.0,899,485,346,1085
81,117031335,Redfern - Chippendale,216.3,25538,7230,2350.0,51347.0,2193.0,721,399,300,1112
82,117031336,Surry Hills,131.6,18064,5040,4302.0,58396.0,2342.0,481,281,167,331
83,117031337,Sydney - Haymarket - The Rocks,429.3,31010,8963,40285.0,27311.0,2998.0,822,345,289,1161
84,117031338,Waterloo - Beaconsfield,358.1,37929,12544,3597.0,57055.0,2302.0,1631,821,620,2143
85,118011339,Bondi - Tamarama - Bronte,249.6,20310,5913,2183.0,60000.0,2699.0,1231,1019,773,705
86,118011340,Bondi Beach - North Bondi,246.1,22969,6486,2575.0,59384.0,2783.0,1422,1149,847,654
87,118011341,Bondi Junction - Waverly,252.3,18314,4379,3685.0,56457.0,2630.0,1077,896,710,686
88,118011342,Centennial Park,197.9,3,0,,,,0,0,0,0
89,118011343,Double Bay - Bellevue Hill,471.4,27009,9187,5016.0,72578.0,2883.0,1344,1257,1233,1239
90,118011344,Dover Heights,187.1,11583,3482,1545.0,61041.0,2677.0,852,788,665,579
91,118011345,Paddington - Moore Park,372.5,16657,2815,2463.0,71227.0,2627.0,889,710,539,476
92,118011346,Rose Bay - Vaucluse - Watsons Bay,513.6,12729,3668,1950.0,68973.0,2890.0,646,905,988,952
93,118011347,Woollahra,128.1,8246,1960,1384.0,70707.0,2879.0,478,412,312,271
94,118021348,Coogee - Clovelly,383.6,27729,8467,2567.0,65825.0,2453.0,1760,1494,1209,1081
95,118021350,Malabar - La Perouse - Chifley,1182.5,26095,5879,1800.0,52678.0,1846.0,1396,1464,1368,1507
96,118021564,Kensington (NSW),264.2,16291,4270,975.0,50113.0,2315.0,599,546,422,1838
97,118021565,Kingsford,201.4,16860,4741,1170.0,45863.0,2312.0,644,685,549,1324
98,118021566,Maroubra - North,181.1,10437,2752,1165.0,57188.0,2564.0,588,582,523,532
99,118021567,Maroubra - South,206.5,11314,3254,945.0,52086.0,1817.0,708,601,536,527
100,118021568,Maroubra - West,204.6,10999,2932,882.0,50049.0,2547.0,641,594,473,684
101,118021569,Randwick - North,193.6,18020,5623,1638.0,63216.0,2465.0,1213,936,679,649
102,118021570,Randwick - South,337.3,14238,3922,1402.0,58849.0,2459.0,785,697,526,593
103,119011354,Bass Hill - Georges Hall,891.6,23154,5539,1472.0,42000.0,1386.0,1721,1732,1665,1568
104,119011355,Chullora,405.0,1225,185,465.0,41625.0,2280.0,103,52,44,47
105,119011356,Condell Park,1000.4,12180,2196,2202.0,40953.0,1877.0,979,938,878,839
106,119011357,Greenacre - Mount Lewis,698.2,27588,5118,2495.0,38037.0,1525.0,2057,2337,2159,2093
107,119011358,Padstow,650.9,17217,4230,1495.0,47300.0,1668.0,1041,946,953,1084
108,119011359,Panania - Milperra - Picnic Point,1439.1,26873,6720,1674.0,50481.0,1712.0,1814,1869,1766,1695
109,119011360,Revesby,509.3,17066,3770,1051.0,47488.0,1679.0,1117,1097,1006,978
110,119011361,Yagoona - Birrong,556.0,21834,5129,1419.0,40040.0,1545.0,1613,1619,1436,1509
111,119011571,Bankstown - North,274.1,17318,4557,1819.0,38068.0,1621.0,1649,1184,971,920
112,119011572,Bankstown - South,442.3,16956,3942,1991.0,38469.0,1573.0,1395,1167,955,1053
113,119021362,Belmore - Belfield,451.4,20127,5359,1756.0,41731.0,1609.0,1314,1257,1127,1211
114,119021363,Canterbury (South) - Campsie,477.8,32907,8806,3094.0,37977.0,1750.0,1988,1611,1451,1766
115,119021364,Kingsgrove (North) - Earlwood,820.2,25211,7047,2677.0,48560.0,2074.0,1511,1629,1474,1497
116,119021366,Punchbowl,524.6,21935,4809,2171.0,36909.0,1581.0,1741,1648,1479,1568
117,119021367,Roselands,364.6,14301,3581,1167.0,42765.0,1750.0,1020,1083,949,893
118,119021573,Lakemba,218.7,18292,4685,1742.0,33672.0,1563.0,1948,1525,977,884
119,119021574,Wiley Park,139.3,11030,2936,910.0,35072.0,1554.0,1120,821,640,537
120,119031368,Hurstville,364.0,25742,6691,2992.0,38371.0,2023.0,1400,1206,1049,1489
121,119031369,Mortdale - Penshurst,611.6,25195,7066,1719.0,48513.0,1827.0,1644,1361,1290,1361
122,119031370,Narwee - Beverly Hills,339.1,14587,3756,1049.0,41759.0,1620.0,880,809,764,840
123,119031371,Oatley - Hurstville Grove,435.5,13401,3828,1139.0,50641.0,2081.0,745,834,760,901
124,119031372,Peakhurst - Lugarno,743.1,19093,4893,2180.0,47417.0,1743.0,1066,1181,1173,1206
125,119031373,Riverwood,277.3,11999,3620,640.0,40157.0,1259.0,708,639,527,678
126,119031374,South Hurstville - Blakehurst,624.9,25433,6836,2626.0,44799.0,2046.0,1411,1372,1382,1653
127,119041375,Arncliffe - Bardwell Valley,499.3,24873,6611,1806.0,45664.0,2255.0,1382,939,826,1071
128,119041376,Bexley,527.8,28200,6726,2132.0,44388.0,1937.0,1910,1656,1397,1579
129,119041377,Kingsgrove (South) - Bardwell Park,378.7,13463,3869,1211.0,45274.0,1915.0,777,833,795,805
130,119041378,Kogarah,222.0,12226,3571,1460.0,47168.0,1996.0,865,598,500,548
131,119041379,Kogarah Bay - Carlton - Allawah,350.3,16943,5239,1517.0,46083.0,1968.0,1083,949,808,958
132,119041380,Monterey - Brighton-le-Sands - Kyeemagh,338.0,14936,4649,1363.0,49203.0,1960.0,881,765,718,678
133,119041381,Rockdale - Banksia,357.6,21722,6090,2093.0,42272.0,2024.0,1261,947,726,939
134,119041382,Sans Souci - Ramsgate,461.2,17093,4656,1642.0,50608.0,2009.0,977,969,865,826
135,120011383,Concord - Mortlake - Cabarita,631.9,23069,6812,2597.0,54465.0,2439.0,1316,1353,1247,1202
136,120011384,Concord West - North Strathfield,510.3,26782,8367,2809.0,49761.0,2473.0,1799,1174,883,1181
137,120011385,Drummoyne - Rodd Point,370.5,19385,6163,2357.0,64309.0,2467.0,1240,1171,931,817
138,120011386,Five Dock - Abbotsford,462.0,21692,6800,2635.0,60675.0,2299.0,1432,1265,1007,898
139,120021387,Balmain,258.2,16863,2494,2372.0,75494.0,2478.0,1118,1001,774,553
140,120021388,Leichhardt - Annandale,447.2,28402,4530,3345.0,65700.0,2359.0,2200,1787,1215,941
141,120021389,Lilyfield - Rozelle,360.4,15152,2835,1803.0,72101.0,2570.0,1125,955,640,473
142,120031390,Ashfield,367.0,26125,7870,1947.0,44851.0,1936.0,1386,985,858,1123
143,120031391,Burwood - Croydon,449.3,26524,7053,3477.0,40592.0,2163.0,1155,1033,988,1528
144,120031392,Canterbury (North) - Ashbury,302.8,11425,3293,869.0,51520.0,1991.0,632,631,582,557
145,120031393,Croydon Park - Enfield,397.1,17929,4264,1560.0,47788.0,1855.0,1040,1066,1007,1047
146,120031394,Dulwich Hill - Lewisham,270.2,17904,5772,1149.0,56326.0,2020.0,985,951,744,771
147,120031395,Haberfield - Summer Hill,347.5,14231,4200,1340.0,55995.0,2040.0,770,890,754,650
148,120031396,Homebush,384.3,17810,4806,2127.0,44552.0,1988.0,1216,772,619,828
149,120031575,Strathfield,645.2,26813,7382,3558.0,43081.0,2185.0,1147,1062,1123,1639
150,120031576,Strathfield South,251.1,3775,963,574.0,50332.0,2035.0,235,223,206,245
151,121011398,Chatswood (East) - Artarmon,506.8,30778,9711,5358.0,51040.0,2542.0,2000,1846,1389,1517
152,121011399,Chatswood (West) - Lane Cove North,553.7,22776,7327,1851.0,56793.0,2333.0,1514,1285,983,1000
153,121011400,Lane Cove - Greenwich,905.6,28619,9026,3823.0,66402.0,2455.0,1847,1819,1764,1708
154,121011401,St Leonards - Naremburn,276.1,11400,3898,3127.0,73803.0,2626.0,825,526,323,298
155,121011402,Willoughby - Castle Cove - Northbridge,1075.2,26858,7672,3338.0,64660.0,2780.0,1799,2241,2035,1657
156,121021403,Asquith - Mount Colah,3468.5,19107,5524,1510.0,52106.0,2263.0,1223,1512,1322,1255
157,121021404,Berowra - Brooklyn - Cowan,8175.5,12081,3642,888.0,50973.0,2231.0,837,948,896,863
158,121021406,Normanhurst - Thornleigh - Westleigh,998.8,19161,5167,1604.0,53829.0,2040.0,1245,1434,1350,1495
159,121021577,Hornsby - East,256.9,12568,4444,1599.0,48707.0,1958.0,991,728,488,483
160,121021578,Hornsby - West,629.0,11215,3271,778.0,49963.0,1843.0,748,766,662,624
161,121021579,Waitara - Wahroonga (West),211.2,10394,3217,697.0,52084.0,2136.0,791,692,535,400
162,121031407,Gordon - Killara,1167.1,22735,6810,2819.0,54843.0,2810.0,1096,1436,1636,1871
163,121031408,Lindfield - Roseville,1187.7,24556,7422,2797.0,60723.0,2724.0,1351,1904,1875,1739
164,121031409,Pymble,1025.1,17217,4975,2271.0,60263.0,2849.0,1017,1404,1380,1370
165,121031410,St Ives,1777.8,21926,6225,2386.0,54318.0,3045.0,1291,1673,1539,1442
166,121031411,Turramurra,2064.3,19956,6095,2026.0,54672.0,2643.0,1016,1452,1449,1379
167,121031412,Wahroonga (East) - Warrawee,1332.7,18797,5395,2148.0,59998.0,2736.0,915,1148,1547,1752
168,121041413,Cremorne - Cammeray,323.9,20508,7190,2276.0,71016.0,2610.0,1395,1061,783,621
169,121041414,Crows Nest - Waverton,296.1,19347,6259,2958.0,69923.0,2522.0,1269,729,499,482
170,121041415,Mosman,865.0,30465,9651,4227.0,71177.0,2629.0,1668,1864,1787,1645
171,121041416,Neutral Bay - Kirribilli,221.1,19205,7298,2872.0,69417.0,2416.0,930,672,463,452
172,121041417,North Sydney - Lavender Bay,191.4,11819,4079,6928.0,71668.0,2749.0,495,353,331,397
173,122011418,Balgowlah - Clontarf - Seaforth,761.0,21485,5771,2617.0,63192.0,2777.0,1500,1823,1688,1278
174,122011419,Manly - Fairlight,673.5,24022,7572,3000.0,61658.0,2823.0,1402,1109,809,833
175,122021420,Avalon - Palm Beach,860.6,13134,4120,1920.0,47971.0,2774.0,710,853,858,827
176,122021421,Bayview - Elanora Heights,6458.3,11357,3225,1529.0,49645.0,2560.0,558,735,776,631
177,122021422,Newport - Bilgola,579.8,13935,4377,1874.0,51543.0,2635.0,794,1006,944,826
178,122021423,Warriewood - Mona Vale,1166.3,25557,6623,3779.0,50548.0,2668.0,1722,1901,1559,1443
179,122031424,Beacon Hill - Narraweena,434.1,14623,3919,1153.0,46442.0,2081.0,895,1081,950,959
180,122031425,Cromer,749.2,7855,2247,940.0,48709.0,2600.0,481,597,563,508
181,122031426,Dee Why - North Curl Curl,407.3,26829,9303,2413.0,51076.0,2257.0,1917,1477,1197,1187
182,122031427,Forestville - Killarney Heights,893.1,13405,3869,1178.0,51711.0,2584.0,747,1222,1117,964
183,122031428,Frenchs Forest - Belrose,3013.2,26523,7090,2959.0,50761.0,3121.0,1627,2137,1961,1818
184,122031429,Freshwater - Brookvale,718.4,22725,7079,4069.0,58561.0,2462.0,1595,1465,1241,1028
185,122031430,Manly Vale - Allambie Heights,935.4,17831,5319,1517.0,53046.0,2237.0,1323,1523,1188,973
186,122031431,Narrabeen - Collaroy,716.2,26301,8126,2401.0,52322.0,2376.0,1638,1537,1428,1404
187,122031432,Terrey Hills - Duffys Forest,7054.4,3796,1026,591.0,53481.0,2573.0,205,260,287,284
188,123011433,Camden - Ellis Lane,2619.3,13399,3795,1270.0,52309.0,1608.0,856,958,886,750
189,123011434,Elderslie - Harrington Park,2154.1,22914,6094,1719.0,54903.0,1907.0,1761,1844,1764,1632
190,123011435,Mount Annan - Currans Hill,2613.4,30374,8224,1838.0,55784.0,1927.0,2682,2549,2322,2201
191,123021436,Bradbury - Wedderburn,3665.6,19620,5402,625.0,46534.0,1318.0,1583,1602,1452,1398
192,123021437,Campbelltown - Woodbine,1374.8,19339,5360,1744.0,47794.0,1538.0,1297,1241,1052,1141
193,123021438,Claymore - Eagle Vale - Raby,2291.7,20971,5204,792.0,48683.0,1373.0,1546,1618,1566,1723
194,123021439,Holsworthy Military Area,12982.3,,0,,,,0,0,0,0
195,123021440,Ingleburn - Denham Court,3091.9,21757,4580,1965.0,48035.0,1546.0,1674,1441,1188,1294
196,123021441,Leumeah - Minto Heights,2364.6,17032,4994,683.0,47961.0,1439.0,1176,1173,1071,1051
197,123021442,Macquarie Fields - Glenfield,1601.8,24556,5273,1049.0,46145.0,1384.0,1934,1856,1679,1589
198,123021443,Minto - St Andrews,1241.3,21039,5322,1345.0,46667.0,1394.0,1645,1582,1362,1440
199,123021444,Rosemeadow - Glen Alpine,4808.3,21497,5712,863.0,47557.0,1414.0,1527,1630,1552,1554
200,123031445,Bargo,6777.1,5907,1704,449.0,47811.0,1625.0,383,462,420,405
201,123031446,Douglas Park - Appin,28994.6,10468,2752,885.0,53629.0,1673.0,856,806,695,616
202,123031447,Picton - Tahmoor - Buxton,18990.8,17440,5109,1330.0,49070.0,1507.0,1221,1290,1195,1227
203,123031448,The Oaks - Oakdale,32273.5,9389,2631,1015.0,48925.0,1449.0,551,724,779,656
204,124011449,Blackheath - Megalong Valley,13921.7,5654,2302,446.0,39202.0,1352.0,309,325,283,236
205,124011450,Blaxland - Warrimoo - Lapstone,2969.4,19401,6200,1362.0,52702.0,1741.0,1218,1378,1402,1316
206,124011451,Blue Mountains - North,59503.7,13,6,3.0,,,0,0,2,0
207,124011452,Katoomba - Leura,4087.3,13718,5053,1160.0,37965.0,1349.0,634,663,690,751
208,124011453,Lawson - Hazelbrook - Linden,4688.7,11473,4106,623.0,46669.0,1433.0,754,788,796,745
209,124011454,Springwood - Winmalee,6966.5,22107,7083,1429.0,49953.0,1596.0,1319,1566,1496,1533
210,124011455,Wentworth Falls,2103.6,6264,2297,426.0,42963.0,1547.0,327,380,347,324
211,124021456,Blue Mountains - South,245690.9,4,3,,,,0,0,0,0
212,124031457,Cambridge Park,658.7,15976,4898,587.0,49719.0,1578.0,1237,1192,986,977
213,124031458,Castlereagh - Cranebrook,7151.7,25698,6709,1410.0,53043.0,1771.0,2296,1847,1687,1694
214,124031459,Emu Plains - Leonay,1379.4,14546,4419,1018.0,53366.0,1664.0,949,1075,916,964
215,124031460,Glenmore Park - Regentville,923.3,21836,5949,1143.0,56033.0,1885.0,1686,1833,1742,1765
216,124031461,Jamisontown - South Penrith,901.8,17666,5531,1188.0,50659.0,1574.0,1343,1272,1121,1010
217,124031462,Kingswood - Werrington,1402.3,20855,4884,960.0,48669.0,1404.0,1809,1443,1223,1266
218,124031463,Mulgoa - Luddenham - Orchard Hills,15867.8,10395,2655,1156.0,55083.0,1921.0,738,749,704,697
219,124031464,Penrith,1039.4,14119,3808,1936.0,47708.0,1376.0,894,756,652,748
220,124031465,Warragamba - Silverdale,6361.4,5395,1562,521.0,50100.0,1526.0,345,404,427,415
221,124041466,Richmond - Clarendon,7467.3,14185,3956,1134.0,46052.0,1518.0,846,857,804,954
222,124041467,Windsor - Bligh Park,2273.0,15698,4299,1253.0,49265.0,1495.0,1190,1105,1047,1102
223,124041468,Yarramundi - Londonderry,8143.6,7732,1647,814.0,46692.0,1660.0,373,505,495,535
224,124051469,Erskine Park,839.4,6569,1880,402.0,51802.0,1828.0,419,427,455,613
225,124051470,St Clair,720.4,20358,5988,951.0,51261.0,1755.0,1465,1491,1356,1410
226,124051580,Colyton - Oxley Park,465.2,12073,3148,420.0,46724.0,1526.0,882,924,732,796
227,124051581,St Marys - North St Marys,1286.5,16796,4406,1397.0,45361.0,1401.0,1384,1172,913,977
228,125011473,Homebush Bay - Silverwater,1126.2,21158,5729,2807.0,56312.0,2302.0,1483,958,650,655
229,125011475,Rookwood Cemetery,301.5,3,0,3.0,,,0,0,0,0
230,125011582,Auburn - Central,373.3,18575,3892,1745.0,30683.0,1860.0,1377,1149,951,1125
231,125011583,Auburn - North,209.7,12390,3081,1317.0,30931.0,1638.0,984,628,427,526
232,125011584,Auburn - South,243.1,9118,1787,902.0,35500.0,1665.0,663,657,614,650
233,125011585,Berala,208.7,9496,2341,679.0,36622.0,1608.0,646,567,470,561
234,125011586,Lidcombe,640.4,21764,4580,2325.0,37656.0,1991.0,1279,979,821,1160
235,125011587,Regents Park,203.3,5339,1504,569.0,39931.0,1506.0,369,374,289,337
236,125021476,Carlingford,974.6,29386,7643,2604.0,44262.0,2157.0,1727,1910,1713,1966
237,125021477,Ermington - Rydalmere,986.5,22869,4929,2105.0,47634.0,1560.0,1669,1468,1272,1330
238,125021478,Oatlands - Dundas Valley,607.6,18791,4029,1544.0,45233.0,1539.0,1262,1234,1013,1160
239,125031479,Chester Hill - Sefton,726.8,19565,4553,1504.0,40574.0,1437.0,1394,1372,1346,1389
240,125031480,Fairfield - East,571.2,16214,3976,1201.0,38240.0,1238.0,1150,1164,1049,1100
241,125031481,Granville - Clyde,560.8,22322,5301,2159.0,38842.0,1617.0,1756,1348,1220,1267
242,125031482,Greystanes - Pemulwuy,1184.9,27759,7339,1890.0,50280.0,1880.0,2167,2105,1678,1542
243,125031483,Guildford - South Granville,679.6,22367,4746,1790.0,37265.0,1416.0,1993,1778,1541,1497
244,125031484,Guildford West - Merrylands West,546.5,21948,5274,1523.0,42581.0,1587.0,1762,1631,1285,1340
245,125031485,Merrylands - Holroyd,671.9,30577,7131,2601.0,43083.0,1662.0,2523,2118,1612,1706
246,125031486,Smithfield Industrial,430.2,35,0,684.0,57326.0,,0,0,0,0
247,125031487,Yennora Industrial,207.9,23,3,190.0,35000.0,,0,0,0,0
248,125041489,North Parramatta,706.1,23756,6700,2422.0,50053.0,1770.0,1787,1169,923,1106
249,125041490,North Rocks,537.6,8290,2283,848.0,49540.0,2322.0,570,616,540,502
250,125041491,Northmead,593.3,22066,6026,1671.0,53421.0,1854.0,2125,1460,908,681
251,125041492,Parramatta - Rosehill,849.7,32712,9497,5067.0,45022.0,1812.0,2854,1539,840,824
252,125041493,Toongabbie - Constitution Hill,748.0,22902,5689,1466.0,48768.0,1697.0,1588,1472,1300,1240
253,125041494,Winston Hills,434.8,11207,3337,810.0,53011.0,2092.0,844,874,753,630
254,125041588,Pendle Hill - Girraween,446.2,13775,2765,1203.0,47891.0,1605.0,1105,1106,773,637
255,125041589,Wentworthville - Westmead,393.6,16807,4138,1282.0,47543.0,1652.0,1319,1239,833,789
256,126011495,Epping - North Epping,888.1,28975,7994,2598.0,48326.0,2301.0,1591,1765,1591,1910
257,126011496,Pennant Hills - Cheltenham,1329.4,21462,6076,2050.0,54941.0,2248.0,1217,1491,1399,1490
258,126021497,Eastwood - Denistone,782.0,26634,6662,2624.0,43900.0,2018.0,1505,1550,1283,1581
259,126021498,Gladesville - Huntleys Point,471.6,15284,4634,2114.0,58409.0,1955.0,960,916,841,749
260,126021499,Hunters Hill - Woolwich,415.1,10876,2805,1421.0,69385.0,2175.0,568,728,829,1003
261,126021500,Macquarie Park - Marsfield,1067.2,23239,5028,2077.0,49507.0,2029.0,1407,906,610,1181
262,126021501,North Ryde - East Ryde,622.3,12970,3434,1285.0,50953.0,2105.0,778,822,775,735
263,126021503,West Ryde - Meadowbank,479.2,20901,6851,1873.0,50035.0,1913.0,1412,1067,788,857
264,126021590,Putney,151.9,4315,1131,554.0,55111.0,2760.0,220,308,334,329
265,126021591,Ryde,726.8,29885,8733,2301.0,49745.0,2055.0,1933,1575,1320,1474
